utc_hour,path_group,split,rain,past_rain_12h,past_rain_24h,last_rain_lag_h,issue_hour,issue_weekday,issue_month,week_block,target_hour_h1,target_weekday_h1,target_month_h1,target_hour_h2,target_weekday_h2,target_month_h2,target_hour_h3,target_weekday_h3,target_month_h3,target_hour_h6,target_weekday_h6,target_month_h6,signed_residual_h1,signed_residual_h2,signed_residual_h3,signed_residual_h6,absolute_residual_h1,absolute_residual_h2,absolute_residual_h3,absolute_residual_h6
2025-04-07 21:00:00+00:00,recovery,final_eval,0.0,12.699999999999998,15.099999999999996,1,21,0,4,2025-14,22,0,4,23,0,4,0,1,4,3,1,4,46.877300000000105,-28.208599999999933,-36.686500000000024,3.9284999999999854,46.877300000000105,28.208599999999933,36.686500000000024,3.9284999999999854
2025-04-07 22:00:00+00:00,recovery,final_eval,0.0,11.499999999999998,15.099999999999996,2,22,0,4,2025-14,23,0,4,0,1,4,1,1,4,4,1,4,43.2041999999999,-30.84436000000005,-7.9348999999999705,-15.326355000000007,43.2041999999999,30.84436000000005,7.9348999999999705,15.326355000000007
2025-04-07 23:00:00+00:00,recovery,final_eval,0.0,10.499999999999998,15.099999999999996,3,23,0,4,2025-14,0,1,4,1,1,4,2,1,4,5,1,4,-64.13684,-46.733299999999986,-59.92554000000001,-29.022289999999998,64.13684,46.733299999999986,59.92554000000001,29.022289999999998
2025-04-09 05:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,5,2,4,2025-14,6,2,4,7,2,4,8,2,4,11,2,4,-13.788822,-13.308910000000001,11.417167999999997,164.40326000000005,13.788822,13.308910000000001,11.417167999999997,164.40326000000005
2025-04-09 06:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,6,2,4,2025-14,7,2,4,8,2,4,9,2,4,12,2,4,-11.813543,4.889305,15.611435,369.4824000000001,11.813543,4.889305,15.611435,369.4824000000001
2025-04-09 07:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,7,2,4,2025-14,8,2,4,9,2,4,10,2,4,13,2,4,6.5585669999999965,19.089714,22.319180000000017,-30.37805000000003,6.5585669999999965,19.089714,22.319180000000017,30.37805000000003
2025-04-09 08:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,8,2,4,2025-14,9,2,4,10,2,4,11,2,4,14,2,4,1.6083500000000015,1.3026699999999778,101.12572999999998,-192.04489999999998,1.6083500000000015,1.3026699999999778,101.12572999999998,192.04489999999998
2025-04-09 09:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,9,2,4,2025-14,10,2,4,11,2,4,12,2,4,15,2,4,-37.58307000000002,112.0738,386.0934,-211.41724,37.58307000000002,112.0738,386.0934,211.41724
2025-04-09 10:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,10,2,4,2025-14,11,2,4,12,2,4,13,2,4,16,2,4,112.83669999999995,444.86840000000007,-154.29880000000003,-177.81066999999996,112.83669999999995,444.86840000000007,154.29880000000003,177.81066999999996
2025-04-09 11:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,11,2,4,2025-14,12,2,4,13,2,4,14,2,4,17,2,4,416.6027999999999,-34.05160000000001,-299.79047,-50.253799999999956,416.6027999999999,34.05160000000001,299.79047,50.253799999999956
2025-04-09 12:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,12,2,4,2025-14,13,2,4,14,2,4,15,2,4,18,2,4,-123.16529999999989,-242.33483999999999,-53.214969999999994,34.87199999999996,123.16529999999989,242.33483999999999,53.214969999999994,34.87199999999996
2025-04-09 13:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,13,2,4,2025-14,14,2,4,15,2,4,16,2,4,19,2,4,-236.89624000000003,-77.15593999999999,-18.692570000000046,345.1700000000001,236.89624000000003,77.15593999999999,18.692570000000046,345.1700000000001
2025-04-09 14:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,14,2,4,2025-14,15,2,4,16,2,4,17,2,4,20,2,4,52.56079999999997,119.97140000000002,79.33910000000003,272.2668000000001,52.56079999999997,119.97140000000002,79.33910000000003,272.2668000000001
2025-04-09 15:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,15,2,4,2025-14,16,2,4,17,2,4,18,2,4,21,2,4,51.50165000000004,67.37300000000005,-30.157300000000077,750.3795,51.50165000000004,67.37300000000005,30.157300000000077,750.3795
2025-04-09 16:00:00+00:00,long_dry,final_eval,0.0,0.0,0.0,999,16,2,4,2025-14,17,2,4,18,2,4,19,2,4,22,2,4,11.577940000000012,-14.851199999999949,315.5160000000001,442.51839999999993,11.577940000000012,14.851199999999949,315.5160000000001,442.51839999999993
