horizon,state,objective,status,w_E1,w_E2,w_E3,w_E4,w_E5,w_E6,model
6,shock,mse,ok,0.008916655931277715,0.010196443590308912,0.07899509533334327,,0.4285375968387013,0.4733542083063688,minus_E4
6,recovery,mse,ok,0.0,0.0034731142138922904,0.07144807673620215,,0.46163860961288516,0.4634401994370205,minus_E4
1,global,mse,ok,0.0,0.18960510559598737,0.0,0.4718087273895321,,0.3385861670144805,minus_E5
1,normal,mse,ok,0.0,0.1873631518864187,0.0,0.47423534200134093,,0.33840150611224046,minus_E5
1,shock,mse,ok,0.010196104806737688,0.19347304439810306,0.0024492948050179168,0.4623689755239278,,0.33151258046621357,minus_E5
1,recovery,mse,ok,4.900085599866127e-19,0.19019052190610902,0.001362205556896126,0.46899362296079405,,0.3394536495762008,minus_E5
2,global,mse,ok,0.005345730335087373,1.0842021724855044e-19,0.0,0.529306574777543,,0.46534769488736966,minus_E5
2,normal,mse,ok,0.0006594966287524507,2.541098841762901e-19,2.270048298641525e-19,0.5323296773416086,,0.46701082602963895,minus_E5
2,shock,mse,ok,0.01974758079448195,0.008123562893101939,0.004081299705275864,0.5141673194434206,,0.4538802371637196,minus_E5
2,recovery,mse,ok,0.006422790155522183,0.0012183911104637298,0.001227851129438286,0.5269927145218797,,0.46413825308269613,minus_E5
3,global,mse,ok,0.048687138741651224,0.007454216163325013,0.0,0.4632986153222491,,0.4805600297727747,minus_E5
3,normal,mse,ok,0.04792033167619781,0.004496654275784881,7.623296525288703e-20,0.4640382557248191,,0.48354475832319815,minus_E5
3,shock,mse,ok,0.04877310060933908,0.022883460966715754,0.013184315890928265,0.45274600335926385,,0.46241311917375305,minus_E5
3,recovery,mse,ok,0.04904029597908745,0.006469701800384567,2.3928680759933985e-19,0.4643771439283856,,0.48011285829214245,minus_E5
6,global,mse,ok,1.2508982565051507e-17,0.0,0.003852195537049668,0.4563205420256361,,0.5398272624373143,minus_E5
6,normal,mse,ok,0.0,6.827085554869661e-19,0.0,0.45964685189815757,,0.5403531481018424,minus_E5
6,shock,mse,ok,0.00788791119142407,0.015596128431474551,0.020412782506783404,0.420787271562577,,0.535315906307741,minus_E5
6,recovery,mse,ok,1.0164395367051604e-19,0.0006128441758499108,0.0025659423774280423,0.4594968062965486,,0.5373244071501735,minus_E5
1,global,mse,ok,0.07841969983602043,0.11888118270259236,4.755242965885642e-17,0.2867316420749877,0.5159674753863995,,minus_E6
1,normal,mse,ok,0.078067239923091,0.11663510958104435,0.0,0.28745043861494185,0.5178472118809229,,minus_E6
1,shock,mse,ok,0.08065262604744075,0.12427313902221888,0.005568044358527599,0.2814933768945751,0.5080128136772377,,minus_E6
1,recovery,mse,ok,0.07761270225243982,0.12006585189582315,0.0010748256222911647,0.2865448474814046,0.5147017727480413,,minus_E6
2,global,mse,ok,0.057552981783165584,0.02578698347261291,1.0716660848661408e-17,0.5234654153145917,0.39319461942962985,,minus_E6
2,normal,mse,ok,0.053597588429543326,0.02177668203007952,0.0,0.5273053306323915,0.3973203989079857,,minus_E6
2,shock,mse,ok,0.06733450169509958,0.03398457550772476,0.005238138502564958,0.5057954016079377,0.38764738268667304,,minus_E6
2,recovery,mse,ok,0.059999389835682704,0.028489638616831417,0.0029058022170375636,0.5216635057396466,0.38694166359080184,,minus_E6
3,global,mse,ok,0.030854446176094983,0.03583904490277965,2.0481097845931372e-17,0.5061383643855489,0.42716814453557644,,minus_E6
3,normal,mse,ok,0.027303801400486806,0.030082664139897863,0.0,0.5082908247218221,0.43432270973779324,,minus_E6
3,shock,mse,ok,0.03471060141455975,0.050256505594828235,0.010953138836142014,0.49342673910486307,0.41065301504960694,,minus_E6
3,recovery,mse,ok,0.03452519566232195,0.03956234988442268,0.0011498831553968898,0.5053857570834088,0.4193768142144498,,minus_E6
6,global,mse,ok,4.54009659728305e-19,0.016968301826726522,0.04747585833586655,0.3978014104344413,0.5377544294029657,,minus_E6
6,normal,mse,ok,3.5829493668856904e-19,0.01216636000433037,0.0430628198188488,0.39900026302669117,0.5457705571501298,,minus_E6
6,shock,mse,ok,0.030207419732380867,0.03206281238935561,0.06497286017413341,0.3749845480939324,0.4977723596101978,,minus_E6
6,recovery,mse,ok,0.000524167396016046,0.017825355603905906,0.046909789437270186,0.40075044397417775,0.5339902435886301,,minus_E6
