removed_expert,horizon,group,n,cluster_type,clusters,delta_MAE_loo_minus_full,ci95_low,ci95_high
E6,1,recovery,2507,event_cluster,118,-1.3219892634922923,-1.914500797075816,-0.6717749591708387
E6,2,overall,6599,7_day_block,41,-1.4441119375400386,-2.652874341238559,-0.21669159470734048
E6,2,normal,3074,7_day_block,39,-1.6923031957562054,-3.391953727655276,-0.2355147765157571
E6,2,shock,1018,event_cluster,118,0.6133049642765778,-2.5077060237220037,3.4430415107068657
E6,2,recovery,2507,event_cluster,118,-1.975229001079257,-3.7363390007856907,-0.23746232463693442
E6,3,overall,6599,7_day_block,41,-0.8824772804262782,-2.75637402416593,0.8068296563165884
E6,3,normal,3074,7_day_block,39,-1.259193374721021,-3.797860103173624,1.0691637280489854
E6,3,shock,1018,event_cluster,118,3.7681755126659553,0.3489700961120505,7.321828244372539
E6,3,recovery,2507,event_cluster,118,-2.3090186723312858,-5.041277933830086,0.2708630062003248
E6,6,overall,6599,7_day_block,41,1.4752297146544415,-1.2848537394121031,4.05986561560397
E6,6,normal,3074,7_day_block,39,1.6647996302383032,-2.48461794799524,6.1683055281852495
E6,6,shock,1018,event_cluster,118,1.5199204043112362,-3.5732192172974457,7.588208566803721
E6,6,recovery,2507,event_cluster,118,1.2246381539941265,-2.725745276883744,5.303597502190693
